"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"rozenasetal2017",0.50206710852456,0.07736421424558,215,"ukraine","2007","N","N","Y","Y","N","N","s",63,"District/Precinct","World War II",1,1,"0","0","",0.50206710852456,0.00261400569358806
"rozenasetal2017",0.545802371070308,0.0831845627867184,217,"ukraine","2010","N","N","Y","Y","N","N","s",66,"District/Precinct","World War II",1,1,"0","0","",0.545802371070308,0.00228214856235638
"rozenasetal2017",0.480945939844152,0.080554225392751,207,"ukraine","2012","N","N","Y","Y","N","N","s",68,"District/Precinct","World War II",1,1,"0","0","",0.480945939844152,0.00286837795151611
"rozenasetal2017",0.508665071811035,0.0780314797174757,218,"ukraine","2014","N","N","Y","Y","N","N","s",70,"District/Precinct","World War II",1,1,"0","0","",0.508665071811035,0.00253210210780433
"rozenaszhukov2019",0.119072338990382,0.0204664224641446,1182,"ukraine","2017","N","N","Y","N","N","N","s",1.5,"District","Holodomor",1,1,"0","0","",0.119072338990382,0.000822899727477835
"schaub2023",0.0488189610285947,0.0232733423300596,1688,"armenia","2018","N","N","N","N","N","N","s",99,"Individual","World War I",1,1,"0","1","",0.0488189610285947,0.000589946116279761
"tellez2019",0.0574504648364804,0.0235269250403209,5462,"colombia","2015","N","N","N","N","N","N","s",26,"Individual (with clustering at the municipality level)","Colombian conflict",1,1,"1","0","2",0.0574504648364804,0.000181909866663516
"tellez2019",0.0160084464767683,0.0137386430706005,5462,"colombia","2015","N","N","N","N","N","N","s",26,"Individual (with clustering at the municipality level)","Colombian conflict",1,1,"1","0","2",0.0160084464767683,0.000183022802592437
"uribe2023",0.11855612714784,0.0190277256303262,5273,"peru","1983","N","N","N","N","N","N","s",1.5,"District, Province","Peruvian Conflict",1,1,"0","0","2",0.11855612714784,0.000184386655551169
"villamil2020",0.0467138800162683,0.0115502026926768,4190,"spain","1978","Y","N","N","N","N","N","s",39,"Municipality","Spanish Civil War",1,1,"0","0","",0.0467138800162683,0.000237679729951289
"villamil2020",0.142940016851627,0.0146036675238888,4163,"spain","1986","Y","N","N","N","N","N","s",47,"Municipality","Spanish Civil War",1,1,"0","0","",0.142940016851627,0.000230551120517701
"villamil2020",0.154777408734871,0.0152370415603375,4192,"spain","1994","Y","N","N","N","N","N","s",55,"Municipality","Spanish Civil War",1,1,"0","0","",0.154777408734871,0.000227311333725315
"villamil2020",0.105331472651238,0.015382470946051,4192,"spain","2004","Y","N","N","N","N","N","s",65,"Municipality","Spanish Civil War",1,1,"0","0","",0.105331472651238,0.000233341363524418
"villamil2020",0.0592106596255783,0.0156856109600406,4192,"spain","2014","Y","N","N","N","N","N","s",75,"Municipality","Spanish Civil War",1,1,"0","0","",0.0592106596255783,0.000236936408237589
"villamil2022",0.316107811714869,0.0562520075047726,325,"guatemala","1999","N","N","N","N","N","N","s",17.5,"Municipality","Guatemalan Civil War",1,1,"0","0","2",0.316107811714869,0.00250042141427326
"villamil2022",-0.0934944643040821,0.036666186797885,318,"guatemala","2003","N","N","N","N","N","N","s",21.5,"Municipality","Guatemalan Civil War",1,1,"0","0","2",-0.0934944643040821,0.0030996655492938
"villamil2022",-0.0811255966036868,0.027162741651801,323,"guatemala","2007","N","N","N","N","N","N","s",25.5,"Municipality","Guatemalan Civil War",1,1,"0","0","2",-0.0811255966036868,0.00306484655118867
"villamil2022",0.031419401988292,0.0101246847198947,315,"guatemala","2015","N","N","N","N","N","N","s",33.5,"Municipality","Guatemalan Civil War",1,1,"0","0","2",0.031419401988292,0.0031784287161765
"wayneetal2023",-0.0460388922662327,0.0222359895031161,2010,"israel","2021","N","N","N","N","N","N","s",79,"individual","World War II",1,1,"1","1","",-0.0460388922662327,0.000495652231665247
"zhukovtalibova2018",-0.0464031647313694,0.0310678685798157,5083,"russia","2003","N","N","Y","N","N","N","s",66,"District","World War II",1,1,"1","1","",-0.0464031647313694,0.00019592643233123
"zhukovtalibova2018",-0.00568424039160926,0.0117416617193803,5086,"russia","2004","N","N","Y","N","N","N","s",67,"District","World War II",1,1,"1","1","",-0.00568424039160926,0.000196644125834084
"zhukovtalibova2018",-0.0803582210163642,0.0369776266280132,5464,"russia","2007","N","N","Y","N","N","N","s",70,"District","World War II",1,1,"1","1","",-0.0803582210163642,0.000180693174301504
"zhukovtalibova2018",-0.0338798626559194,0.0347007735650322,5104,"russia","2008","N","N","Y","N","N","N","s",71,"District","World War II",1,1,"1","1","",-0.0338798626559194,0.000195513546416067
"zhukovtalibova2018",-0.0542436257996764,0.0350810041418499,5486,"russia","2011","N","N","Y","N","N","N","s",74,"District","World War II",1,1,"1","1","",-0.0542436257996764,0.000181244104952955
"zhukovtalibova2018",-0.0695107765685106,0.0302793477454383,5490,"russia","2012","N","N","Y","N","N","N","s",75,"District","World War II",1,1,"1","1","",-0.0695107765685106,0.000180426279772453
