authoryear,yi,vi,coef,se,n,outcome,model_type
velezetal2016,0.0119782961100046,2.1162427210647e-4,0.0119782961100046,0.0609239485780772,4725,altruism,Bivariate
voorsetal2012,0.146261646275391,0.00336025508559602,0.146261646275391,0.0768033471690803,286,altruism,Bivariate
voorsetal2012,0.0694641266789117,0.00347499211716064,0.0694641266789117,0.0890616335118585,286,altruism,Bivariate
wernerlambsdorff2020,0.0565163320356761,0.00278325493186096,0.0565163320356761,0.0377522747626545,358,altruism,Bivariate
braithwaiteetal2019,-0.217863587135276,0.00154044787369317,-0.217863587135276,0.0568185748469526,590,altruism,Quasi-Experimental
braithwaiteetal2019,0.0760521564236079,4.3277828058609e-4,0.0760521564236079,0.023154754329768,2285,altruism,Quasi-Experimental
koos2018,0.109505603298542,1.7832678867679e-4,0.109505603298542,0.0228591462636124,5475,altruism,Quasi-Experimental
nairsambanis2019,-0.0461530419642381,0.00102022984710542,-0.0461530419642381,0.0314085586010779,977,altruism,Quasi-Experimental
nairsambanis2019,-0.0368556262741152,0.00102180857654078,-0.0368556262741152,0.0324439730198675,977,altruism,Quasi-Experimental
osborneetal2018,0.0624979768080453,0.00362117979052258,0.0624979768080453,0.0610476747670535,275,altruism,Quasi-Experimental
osborneetal2018,-0.0357007847123601,0.00364033770952344,-0.0357007847123601,0.0594533142786229,275,altruism,Quasi-Experimental
barceloratnasingham2023,0.0876319975504708,0.00159079198495649,0.0876319975504708,0.0423533137874347,620,altruism,Full
braithwaiteetal2019,-0.217863587135276,0.00154044787369317,-0.217863587135276,0.0568185748469526,590,altruism,Full
braithwaiteetal2019,0.0760521564236079,4.3277828058609e-4,0.0760521564236079,0.023154754329768,2285,altruism,Full
cassaretal2013,0.0354292432453007,0.0025317033326185,0.0354292432453007,0.0393657567430413,395,altruism,Full
cassaretal2013,0.0760090075457945,0.00244672930578961,0.0760090075457945,0.0532453003881174,405,altruism,Full
cecchietal2015,0.174752987628247,0.00583761113744264,0.174752987628247,0.0945445475393686,162,altruism,Full
cilliersetal2016,0.0709578888278144,3.3009513420227e-4,0.0709578888278144,0.0215827371968465,3000,altruism,Full
dinasetal2021a,0.0544470661181802,3.1518066650023e-4,0.0544470661181802,0.0176931656872933,3155,altruism,Full
dinasetal2021b,0.0572748787617542,6.5530998524196e-4,0.0572748787617542,0.0250361349783181,1517,altruism,Full
dinasetal2021c,0.0558099942013813,6.0265627094967e-4,0.0558099942013813,0.0275610336462283,1650,altruism,Full
elbialyetal2022a,-0.0587888848116852,0.00730220352132614,-0.0587888848116852,0.0902351457432127,137,altruism,Full
elbialyetal2022b,-0.00155254612241073,0.0084745354170075,-0.00155254612241073,0.0278725121721451,119,altruism,Full
gilliganetal2014,0.0934063995734679,0.00391484705336913,0.0934063995734679,0.06185517759646,252,altruism,Full
gilliganetal2014,0.173927277874429,0.00374666816235535,0.173927277874429,0.0693199065132972,252,altruism,Full
hartmanmorse2018,0.1429501535065,7.8458551601378e-4,0.1429501535065,0.0284311443598953,1224,altruism,Full
hartmanmorseweber2021,0.0964797785258194,4.5083598989777e-4,0.0964797785258194,0.0414888821240531,2178,altruism,Full
hassanetal2023a,-0.291357376671301,0.00562032161726533,-0.291357376671301,0.0835406550850173,150,altruism,Full
hassanetal2023b,-0.0166050093391066,0.00854229592610862,-0.0166050093391066,0.0885708794891304,118,altruism,Full
henrichetal2019b,0.138677410629634,0.00237507901046817,0.138677410629634,0.0540266995408602,406,altruism,Full
koos2018,0.109505603298542,1.7832678867679e-4,0.109505603298542,0.0228591462636124,5475,altruism,Full
lindseykoos2024,-0.0240523479596339,0.00102026895178281,-0.0240523479596339,0.0389776769906371,980,altruism,Full
mironovawhitt2016,0.436908603040887,5.8140355607593e-4,0.436908603040887,0.0614741707282423,1127,altruism,Full
mironovawhitt2018,-0.107207505003826,0.00144548106673756,-0.107207505003826,0.0346573306181922,677,altruism,Full
mironovawhitt2018,0.0593471682497249,0.00213541555340632,0.0593471682497249,0.0460116359080573,466,altruism,Full
mullerwhitt2020,0.157554023496213,0.00294417849569561,0.157554023496213,0.0728753969831817,324,altruism,Full
nairsambanis2019,-0.0461530419642381,0.00102022984710542,-0.0461530419642381,0.0314085586010779,977,altruism,Full
nairsambanis2019,-0.0368556262741152,0.00102180857654078,-0.0368556262741152,0.0324439730198675,977,altruism,Full
osborneetal2018,0.0624979768080453,0.00362117979052258,0.0624979768080453,0.0610476747670535,275,altruism,Full
osborneetal2018,-0.0357007847123601,0.00364033770952344,-0.0357007847123601,0.0594533142786229,275,altruism,Full
peisakhinetal2024,-0.0312729991140536,7.2165217320155e-4,-0.0312729991140536,0.0249684725780194,1384,altruism,Full
schaub2023,-0.0372244116015309,6.2640113467755e-4,-0.0372244116015309,0.0268308988808377,1593,altruism,Full
stageuwera2018,0.124602444369379,0.00330781403147381,0.124602444369379,0.0630310088601745,294,altruism,Full
stageuwera2018,0.134545024103798,0.00329052207693688,0.134545024103798,0.0624970903988164,294,altruism,Full
velezetal2016,-0.123901585849168,1.4182745256905e-4,-0.123901585849168,0.00744441388655156,6837,altruism,Full
velezetal2016,-0.222596809134719,1.3315985527192e-4,-0.222596809134719,0.03240422666037,6785,altruism,Full
velezetal2016,0.355285954390589,9.42680969039402e-5,0.355285954390589,0.24194114272775,8100,altruism,Full
velezetal2016,-0.0340750702444405,2.1254348686686e-4,-0.0340750702444405,0.0619670077358492,4695,altruism,Full
voorsetal2012,0.281765743009283,0.00305963614190096,0.281765743009283,0.0874473436254707,278,altruism,Full
voorsetal2012,0.135325505922062,0.00430227402049163,0.135325505922062,0.0563134043502785,225,altruism,Full
wernerlambsdorff2020,-0.134600365814373,0.00307036215955417,-0.134600365814373,0.0760583744786075,315,altruism,Full
annanetal2011,-0.0943789366086262,7.9087324809435e-4,-0.0943789366086262,0.034663294149971,1243,antipeace,Bivariate
barceloratnasingham2023,0.157812992041573,0.00151644397949752,0.157812992041573,0.0386994283866975,628,antipeace,Bivariate
canettietal2017,0.166915616619349,4.3371022456144e-4,0.166915616619349,0.0210227280642138,2180,antipeace,Bivariate
coupeobrizan2016a,0.0956458460901524,0.00114161329359884,0.0956458460901524,0.0347725990645047,861,antipeace,Bivariate
davalosetal2018,-0.171004889982023,0.00141709742720817,-0.171004889982023,0.0390471963854293,666,antipeace,Bivariate
dyrstadetal2011,0.338536356654548,4.1697925739368e-4,0.338536356654548,0.0667641017832698,1881,antipeace,Bivariate
dyrstadetal2021a,0.0308082238779893,0.00103860833253106,0.0308082238779893,0.0474687665564699,962,antipeace,Bivariate
dyrstadetal2021b,-0.0555377675606138,0.00139584357660287,-0.0555377675606138,0.0271244413303508,713,antipeace,Bivariate
